AK-00,68
AL-01,45
AL-02,48
AL-03,47
AL-04,42
AL-05,41
AL-06,44
AL-07,43
AR-01,61
AR-02,60
AR-03,59
AR-04,66
AZ-01,74
AZ-02,73
AZ-03,72
AZ-04,79
AZ-05,78
AZ-06,77
AZ-07,76
AZ-08,52
AZ-09,51
CA-01,89
CA-02,86
CA-03,87
CA-04,92
CA-05,93
CA-06,90
CA-07,91
CA-08,80
CA-09,81
CA-10,88
CA-11,87
CA-12,86
CA-13,85
CA-14,92
CA-15,91
CA-16,90
CA-17,89
CA-18,80
CA-19,79
CA-20,84
CA-21,85
CA-22,86
CA-23,87
CA-24,88
CA-25,89
CA-26,90
CA-27,91
CA-28,76
CA-29,77
CA-30,84
CA-31,83
CA-32,86
CA-33,85
CA-34,88
CA-35,87
CA-36,90
CA-37,89
CA-38,76
CA-39,75
CA-40,96
CA-41,97
CA-42,94
CA-43,95
CA-44,92
CA-45,93
CA-46,90
CA-47,91
CA-48,88
CA-49,89
CA-50,96
CA-51,95
CA-52,94
CO-01,66
CO-02,67
CO-03,68
CO-04,92
CO-05,93
CO-06,63
CO-07,64
CO-08,73
CT-01,79
CT-02,78
CT-03,77
CT-04,76
CT-05,75
DE-00,85
FL-01,67
FL-02,64
FL-03,65
FL-04,70
FL-05,71
FL-06,68
FL-07,69
FL-08,74
FL-09,75
FL-10,70
FL-11,69
FL-12,68
FL-13,67
FL-14,74
FL-15,73
FL-16,72
FL-17,71
FL-18,78
FL-19,77
FL-20,62
FL-21,63
FL-22,64
FL-23,65
FL-24,66
FL-25,67
FL-26,68
FL-27,69
FL-28,70
GA-01,68
GA-02,65
GA-03,66
GA-04,63
GA-05,64
GA-06,61
GA-07,62
GA-08,59
GA-09,60
GA-10,67
GA-11,66
GA-12,65
GA-13,64
GA-14,63
HI-01,103
HI-02,75
IA-01,69
IA-02,70
IA-03,71
IA-04,72
ID-01,54
ID-02,57
IL-01,64
IL-02,67
IL-03,66
IL-04,61
IL-05,60
IL-06,63
IL-07,62
IL-08,57
IL-09,87
IL-10,65
IL-11,66
IL-12,67
IL-13,68
IL-14,61
IL-15,62
IL-16,63
IL-17,64
IN-01,70
IN-02,69
IN-03,68
IN-04,67
IN-05,66
IN-06,65
IN-07,64
IN-08,63
IN-09,62
KS-01,59
KS-02,60
KS-03,61
KS-04,62
KY-01,65
KY-02,62
KY-03,63
KY-04,68
KY-05,69
KY-06,66
LA-01,68
LA-02,40
LA-03,39
LA-04,65
LA-05,64
LA-06,67
MA-01,92
MA-02,93
MA-03,94
MA-04,87
MA-05,88
MA-06,89
MA-07,90
MA-08,99
MA-09,100
MD-01,83
MD-02,86
MD-03,85
MD-04,88
MD-05,87
MD-06,90
MD-07,89
MD-08,92
ME-01,65
ME-02,66
MI-01,67
MI-02,68
MI-03,69
MI-04,62
MI-05,63
MI-06,64
MI-07,65
MI-08,58
MI-09,59
MI-10,66
MI-11,65
MI-12,68
MI-13,67
MN-01,85
MN-02,84
MN-03,83
MN-04,90
MN-05,89
MN-06,88
MN-07,87
MN-08,78
MO-01,50
MO-02,47
MO-03,48
MO-04,53
MO-05,54
MO-06,51
MO-07,52
MO-08,72
MS-01,39
MS-02,36
MS-03,37
MS-04,34
MT-01,56
MT-02,59
NC-01,60
NC-02,63
NC-03,62
NC-04,57
NC-05,56
NC-06,59
NC-07,58
NC-08,69
NC-09,68
NC-10,57
NC-11,58
NC-12,59
NC-13,60
NC-14,53
ND-00,73
NE-01,82
NE-02,81
NE-03,80
NH-01,94
NH-02,91
NJ-01,78
NJ-02,79
NJ-03,80
NJ-04,73
NJ-05,74
NJ-06,75
NJ-07,76
NJ-08,100
NJ-09,101
NJ-10,81
NJ-11,80
